name,path,group
C1_79,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C1/C1_79.jpg,C
C2_76,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_76.jpg,C
C2_92,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_92.jpg,C
D1_59,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_59.jpg,D
C1_46,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C1/C1_46.jpg,C
D1_8,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_8.jpg,D
C1_88,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C1/C1_88.jpg,C
D2_29,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D2/D2_29.jpg,D
D1_55,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_55.jpg,D
C1_20,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C1/C1_20.jpg,C
C2_43,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_43.jpg,C
C2_22,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_22.jpg,C
C2_84,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_84.jpg,C
C1_70,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C1/C1_70.jpg,C
D2_28,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D2/D2_28.jpg,D
D1_95,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_95.jpg,D
C2_95,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_95.jpg,C
D1_83,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_83.jpg,D
C2_86,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_86.jpg,C
C1_35,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C1/C1_35.jpg,C
C2_28,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_28.jpg,C
C1_87,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C1/C1_87.jpg,C
D1_19,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_19.jpg,D
C2_62,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_62.jpg,C
D2_5,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D2/D2_5.jpg,D
C2_82,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_82.jpg,C
D1_72,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_72.jpg,D
D1_89,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_89.jpg,D
C1_86,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C1/C1_86.jpg,C
D2_13,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D2/D2_13.jpg,D
C2_37,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_37.jpg,C
D2_14,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D2/D2_14.jpg,D
D2_12,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D2/D2_12.jpg,D
C2_101,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C2/C2_101.jpg,C
D1_2,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_2.jpg,D
D1_93,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_93.jpg,D
C1_94,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/C1/C1_94.jpg,C
D1_43,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_43.jpg,D
D1_84,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/D1/D1_84.jpg,D
